guideline,test,med,pvalue,mean,neg,neg_abs,pos,pos_abs,nul,nul_abs,type
random-reg,177348.0,0.0,5.3389519064022184e-08,-5068.866996179041,0.3447136563876652,313,0.43061674008810574,391,0.22466960352422907,204,"Regular Changes
(random-baseline)"
size-reg,183764.5,0.0,0.29988634363044553,-4.185507526949472,0.27038183694530443,262,0.304437564499484,295,0.42518059855521156,412,"Regular Changes
(size-baseline)"
security,208584.0,0.0,0.043653101969703026,0.16223139753754523,0.41898864809081526,406,0.38699690402476783,375,0.19401444788441694,188,Security Patches
