guideline,test,med,pvalue,mean,neg,neg_abs,pos,pos_abs,nul,nul_abs,type
reg,183764.5,0.0,0.29988634363044553,-4.185507526949472,0.27038183694530443,262,0.304437564499484,295,0.42518059855521156,412,Regular Change
sec,208584.0,0.0,0.043653101969703026,0.16223139753754556,0.41898864809081526,406,0.38699690402476783,375,0.19401444788441694,188,Security Change
