Dataset,Code,Project,sha,owner,project,sha-p,sha-reg,sha-reg-p,reg
VULAS,CVE-2011-1498,https://github.com/apache/httpcomponents-client,a572756592c969affd0ce87885724e74839176fb,apache,httpcomponents-client,d2670af7dc0d622f6ed121294a9eda4d424e2733,c4f47f34894151c3d9ff822be9cee8e19422d486,cd41e8998de1c989d7298ca7c53fd4b3e56a89b2,FOUND
VULAS,CVE-2011-1582,https://github.com/apache/tomcat,299b26af66793438c323ea6b18462fa44683080f,apache,tomcat,37b704da7eb200de09979164fe8a6864424c7291,d7905714d401e0d99fb84f770707b239e9a11dec,db9db000adf7785a62e9891ba194c08843987c71,FOUND
VULAS,CVE-2011-3375,https://github.com/apache/tomcat,9eae334e9492f55a841e6eb7ab302ff11d03ab21,apache,tomcat,d5bd2e6000689c56f0832bf1ff40d9d9d74e4d63,748e6daa374771e5634c200ec1c8ec9c3f6e16bc,d98f6da842ac43e262d02f307b5cbabf49a15959,FOUND
VULAS,CVE-2011-4905,https://github.com/apache/activemq,3a71f8e33d0309cb0ca5b5758a8f251da205e757,apache,activemq,f260b17488ac00e8b9e1dcf12ff9ee9b2e68f80e,f5dcc9dfbf6635ec70916376afcb7640396def4a,757107d7aa9e8e87c07445bccebe501e3b9ccb0c,FOUND
VULAS,CVE-2012-0392,https://github.com/apache/struts,34c80dae734e70f13c0e46f9c83602fb71318e58,apache,struts,49abe3704e980f1e77429b2b8a07f0e9f0306ce0,09f7f37d7237b7fe373a5f13e9901073359e92f8,3683b8f7fdaed4f5b0da6acc5caf6b9a806e2e0c,FOUND
VULAS,CVE-2012-0393,https://github.com/apache/struts,9cad25f258bb2629d263f828574d2671366c238d,apache,struts,47e12adc0ea865f559f8b8d8064a791cb1e7fe37,af34058f45a8555f5d4dcf306cb634f60639cd3d,923f1cdde1712a05e8808884429f198d5e0b28b0,FOUND
VULAS,CVE-2012-2379,https://github.com/apache/cxf,4500bf901cb2a7312291b6663045f28a95d2a0c4,apache,cxf,577235e62a3358dce8c9f142285858c49c19fbde,94a495d0998d15ec9db78b04ecea5678240c4345,bf2214c41842fab5d9b0289d29391d36a3dc0f3a,FOUND
VULAS,CVE-2012-3451,https://github.com/apache/cxf,9c70abe28fbf2b4c4df0b93ed12295ea5a012554,apache,cxf,92831c6a6da8b8a3771e4535dc75003152e74828,1a1e8bf8c72e3438e1ece959f261f4c88cac1052,4f03d00c5bfbd5916ccacc95e64987969fa5e02b,FOUND
VULAS,CVE-2012-4387,https://github.com/apache/struts,87935af56a27235e9399308ee1fcfb74f8edcefa,apache,struts,1081c52be93abfd2f33ba8453c676e3edcedec8b,953628d2265c424d13cad3e5faa72b865b91f3b0,0216a6c1df15df39421c64d6861768244219239b,FOUND
VULAS,CVE-2012-6092,https://github.com/apache/activemq,51eb87a84be88d28383ea48f6e341ffe1203c5ba,apache,activemq,65af81e09ecbb38e43b1410b2e1bd9c02926fc88,456005bf1312eb40e747572b5b371c48a1c74aba,ad585dc4b0381441f1addabc8f2b4a2673d81dfe,FOUND
