owner,project,watchers,stars,forks,contributors,commits,branches,releases,language,size,o_issues,c_issues,o_prs,c_prs,license,type,os/lang,tags,g_tags
juozasg,catabuzz,2,3,1,1,232,2,12,Ruby,2576,0,0,0,0,Not Found,,,,
kanboard,kanboard,325,3923,1122,239,3815,1,66,PHP,67814,130,3981,3,1021,MIT License,,,,
laravel,framework,1047,15425,6133,413,22780,12,377,PHP,38090,84,26722,7,15248,MIT License,,,,
libretro,RetroArch,223,2774,810,289,46617,17,75,C,189923,1042,6787,21,4313,GNU General Public License v3.0,,,,
lxc,lxc,208,2403,755,298,8042,8,104,C,23121,141,2620,4,1620,GNU Lesser General Public License v2.1,,,,
lxml,lxml,69,1355,329,94,5323,16,92,Python,23498,7,213,7,213,Not Found,,,,
magicalpanda,MagicalRecord,446,10780,1869,78,1021,11,37,Objective-C,8005,287,1052,30,370,Other,,,,
mantisbt,mantisbt,98,1016,538,98,11394,4,119,PHP,64343,54,1260,54,1260,Not Found,,,,
mattpass,ICEcoder,117,1034,274,25,2282,1,69,PHP,5731,119,632,1,61,Other,,,,
micahflee,onionshare,165,2699,342,71,2215,2,23,Python,9042,65,786,8,381,GNU General Public License v3.0,,,,
MISP,MISP,231,1746,552,123,10296,42,269,PHP,56256,1205,2766,23,858,GNU Affero General Public License v3.0,,,,
mojombo,god,102,2124,494,57,813,12,32,Ruby,2639,116,135,28,81,MIT License,,,,
mongodb,mongo-php-driver-legacy,102,1111,353,27,4671,6,92,PHP,10101,1,883,1,883,Other,,,,
moodle,moodle,369,2321,3532,196,91781,25,317,PHP,487003,2,264,2,264,GNU General Public License v3.0,,,,
mozilla,kuma,131,1363,644,262,15353,10,27,HTML,208063,12,5137,11,5006,Mozilla Public License 2.0,,,,
MPOS,php-mpos,231,1418,959,90,4049,4,11,PHP,13917,5,2761,1,1034,Apache License 2.0,,,,
mpv-player,mpv,434,8940,1221,255,46692,59,73,C,89846,672,5701,68,1647,Other,,,,
naver,pinpoint,777,7803,2396,64,10160,8,25,Java,214130,120,4932,18,3000,Apache License 2.0,,,,
neo4j,neo4j,440,5875,1513,167,60043,22,264,Java,429412,205,11904,10,9636,Not Found,,,,
Netflix,SimianArmy,813,6922,1010,46,800,4,7,Java,15326,41,284,6,218,Apache License 2.0,,,,
nextcloud,server,415,6177,1085,383,47425,109,461,PHP,352655,1780,11480,101,6489,Other,,,,
nginx,nginx-releases,291,1578,826,1,388,20,449,C,90381,0,23,0,23,Other,,,,
nicolaslopezj,searchable,73,1458,180,42,175,2,52,PHP,108,83,102,0,67,MIT License,,,,
nodejs,http-parser,319,4431,1136,79,432,6,22,C,766,58,399,31,209,MIT License,,,,
openssl,openssl,825,9050,4108,348,23229,20,297,C,163588,638,7304,190,5096,Apache License 2.0,,,,
openstack,nova,467,2381,2195,323,53122,5,209,Python,930829,0,85,0,85,Apache License 2.0,,,,
osTicket,osTicket,252,1463,1033,75,5686,9,59,PHP,25607,1705,2873,298,1312,GNU General Public License v2.0,,,,
owncloud,core,508,6425,1888,371,39680,219,401,PHP,246799,1441,32529,151,16063,Other,,,,
