forks,stars,watchers,contributors,commits,branches,releases,size,issues,pull requests
1734.79,5262.97,395.11,152.48,22257.82,44.08,126.31,143243.64,3725.4,1976.92
1,3,1,0,103,1,0,108,0,0
374.75,1571.5,117.75,48,1347,4,22,8339.5,321.25,151.75
887,2836.5,258.5,102.5,5823,9,59,38331.5,1652.5,515.5
2196,6455.75,462.5,259,22786.25,22.25,142.25,164442.5,4152.75,1944.25
16366,31841,3446,413,717449,1227,1114,2042017,33970,19329
180418,547349,41091,15858,2314813,4584,13136,14897339,387442,205600
