owner,project,sha,sha-p,main(sha),main(sha-p),main(diff)
php,php-src,ecb9a94472ce658ab64cd9b818a8de6051d53c83,64043cb9e5d8bc5af719678893e38ee0290e0c0a,-3538829.1498392895,-7470215.220656286,3931386.0708169965
osTicket,osTicket,0ae7435fcbd356b437a0302da1a31a500fe7047d,03a84301e2e0e6875058814e877b7f7cffa33a98,-12303.372343302362,-12466.296868815165,162.92452551280257
naver,pinpoint,f6ec0eef10e2bd3d2dc4a49479b437d05d315699,b152cab0e88e736782435a41991ae305f2a39177,-843227.995504604,4489.597833136396,-847717.5933377404
slimphp,Slim,36cdaa2f4ec4495cfa3a8cb2b354bc2b862903d3,20b09ca587b6f1215bb10ad39b92c2c540b2cd35,1851.0069145659731,1662.6250036745462,188.38191089142697
pfsense,pfsense,d04d8d428065d52506faa1c3f449ef951b0a0bde,daeab6c45370e05491ae60f854fb3b9967c6f94d,-72406.02658610384,-143914.86986975564,71508.8432836518
jspahrsummers,libextobjc,01a5c0372e4a14885916135997c846bf26b33348,821599787089f794228cc8bfac6a1b97c3e6227d,88.87631016441523,36.44378099907413,52.4325291653411
torvalds,linux,9407913fc16dde0e632b9639557422c6a792469d,2b666ca4a68cbc22483b0f2e1ba3c0e59b01ae9e,error,error,error
owncloud,core,40188c87a189a45a50e1d96acb222be0a67ab853,b0ecef02e905972bdd963ba03610e5c025a36e1b,45785.21019190399,-10968.985596256425,56754.19578816042
openssl,openssl,55ac522068e616d8a4d1bd5590f3b2d08d4ba25c,a029788b0e0c19cee4007cc1f73201cf2c13addf,-72445.99289892339,-1794693.0585418993,1722247.065642976
google,google-authenticator,815ec5a873228418948cda399fb44a61bb540e60,beb43d7baf22c0f9c0d0f87c1ce5473c41943d06,3327.267877769627,3327.267877769627,0.0
WordPress,WordPress,24b5a980c51bf33b659958f6859e01cb68e0df26,8772cbfa138d9e46d0fcb97aa0a2a0b15e8eb6d1,-32939.47716182366,-19805.403545429654,-13134.07361639401
MPOS,php-mpos,c8f7163fa8c3d71f0c8dca6092f2c29333d610ee,795e019d0de3731fab71c98ab0487e84d6f7e952,-6382.533683165215,-15785.181412787566,9402.647729622351
unbit,uwsgi,8b7e93385b7176ade3de89fa31c44e9690fcee89,eb6c35aa95c231b788ce61b39766501519bd7657,error,error,error
nextcloud,server,0da06187f6b1006db67b5d34281fd51a56054d21,5c718b13b8c68fc89661edbdbd40822bb55f544a,1007.9927481452648,54536.47836733087,-53528.48561918561
mantisbt,mantisbt,3d685a6059f93e14af00ee0609cc7659eee7afa3,d9db796f8973696bb606dc03ce42857f6d160d78,-45047.67637182904,-79274.92517147254,34227.2487996435
cloudius-systems,osv,fb6887e8579c2609a61687dd0c63375cb7aa57c3,aff328352803b19294b4f8300bd0e20f0e1ba6b6,-364.05765655950864,-1038252.4947822784,1037888.4371257189
curl,curl,56bc31e9f9082e404ef813fb5a670f1f743b081d,ec9fa4f6b372e4e77fa741788e37a820bfa2ffc2,-19140.62190802735,-52175.2525838896,33034.63067586225
Graylog2,graylog2-server,442dba8fff106c8daca5539f029485e67ac08bdf,f1ab40d91f12dc9b1a50d633a21c5cd67c7aca36,15939.946607304011,2201.642220165918,13738.304387138094
pfsense,pfsense,378f989cdc07a61bc1a8c2964c249922a416f51c,dd34d7d239d823921237c4408559e674f5f0c292,-123923.13210119931,-142659.6811934772,18736.5490922779
mantisbt,mantisbt,df0055378c7dbe5f3c099f91043705b3d00ac84c,60a4d24a794a81e98dc044ce42a9e4b8fa754111,-45442.378006942105,-77044.8311989703,31602.453192028202
josh,rails,88b17d22c836b948bfd580cbb2da590ea10a658c,9a73630d935e360f3dc896e50dd673afb97cf3b5,18195.396315079677,8874.098072576497,9321.29824250318
mantisbt,mantisbt,dca6b33a95d8bb610a1585bba5605164f8460f0c,fe9da540f09fe4d3473a302446c4a1ea11ebf103,-79386.49965583114,-82183.73841138728,2797.2387555561436
josh,rails,d200d080041bc4cefba8a8d39943b233ee2630a0,bd97c3044a7b135f5b84f38c3dbdce2ccc793f70,9813.450053615274,8853.31841248899,960.1316411262833
cloudius-systems,osv,6f464e76cf5dd2c3fbb6b7ea84d00e21ee88cdbf,6e438d21fe85ad73c6d9f4b3eae11e39a8d87643,-87500.19177188937,-1108813.7352764357,1021313.5435045464
dlitz,pycrypto,1b309c67633759a5449cbdb38d18f86c861b53c6,abd276c5fa31abf0b1d70ca4624e30cdacaee867,4923.717457519282,4675.480864679634,248.23659283964844
php,php-src,3b24a795a6a1f603f8616914efe9099de46639e2,3e88d610e54dac75a374af9e8501f02da67e4466,-3752370.0524312896,-7468903.799862105,3716533.747430816
torvalds,linux,63eb6b93ce725e4c5f38fc85dd703d49465b03cb,c935a331c8f569c7903ed26a3994a70cbea1802e,error,error,error
torvalds,linux,c3136f5540b62f7a0ada3cbbd7345889a4879f23,3d1bec99320d4e96897805440f8cf4f68eff226b,error,error,error
mantisbt,mantisbt,1f515b3ac3f02e08bc8c0993d24dbab5da416a0f,75c87e679a3f7f9195c62d92cf02a64d80fc5288,-82657.41812958384,-53131.11571680691,-29526.302412776924
spring-projects,spring-security-oauth,be0f0768f98d27205140d29a962ba83d6cd7a3fc,0da337aef2979db848bc2e091a2b2a206412c62c,4853.434946539857,3659.5351498598084,1193.899796680049
WordPress,WordPress,3dce6ba3fec2fde526c1de5957b85cf4fcf168d9,19848b9d90b63469d3c70b7e79400d10795601d0,-50584.44944303172,-34502.16770163328,-16082.281741398438
torvalds,linux,4bae02dd65b475ff7a3097ce028b9e5efbbdf891,f341dddf1dadf64be309791f83d7904245f1261d,error,error,error
curl,curl,630995f40a799b6fbd7ae9cb063ea021c701e91d,ee57e9dea63c3706c3679ff77426680bc1a327bf,-18929.460931247624,-44277.69436270946,25348.233431461835
Graylog2,graylog2-server,ba47e7e4035345183cbd997ff16e4b525f5f453e,4dd9c321314c10c5427888a145b242da8ac0c08d,26914.912399030214,15145.801163020098,11769.111236010116
mantisbt,mantisbt,cad2b3303b5abf40f126b91568d1d0c17613c9b5,b66af6d2ed9883c04e71ef132a3b36837f91fc62,-46547.109449095275,-45303.989040416374,-1243.1204086789003
unbit,uwsgi,856fd8b00fd81de165f9c84596ac7b5fa6e5070b,a559e9ea631afa9331cba77d3f1634611a6aa4ab,-6598.406365375578,-32540.404810714594,25941.998445339013
osTicket,osTicket,c74f66416a391aa2a6368c025b14aeaba730339e,ecb9178f24f5dd1ddbba06776d0f583a42ba2998,-12670.773995929918,-12745.383677894026,74.60968196410795
vanilla,vanilla,d0e0c884f57063e6623d7cb14d5eda21218122e4,025156c900c7d72ab9811568accc7a49dba2ecc8,error,error,error
vanilla,vanilla,70788e6797b00688e0f263bac52be2bc7b90584e,920486d61221779f4010f39657a91ab3825b4d36,error,error,error
mongodb,mongo-php-driver-legacy,8e66232375c5b23debb8171d2aae515fc2158b09,3705a32fcb655d728fee7dd358a0762e0531134d,511.7332640509308,-10354.372908215091,10866.106172266022
mantisbt,mantisbt,28e902c2bfff6a9719e51df532fcfba09465f352,ecef0e9b523a460709e8feedfce72f05bb30b992,-13022.336431030675,-42687.592201649095,29665.25577061842
php,php-src,e3d25e78eb73c7b7bce0cd175578f7ce32741c5f,94742054a845f483b4d59ac28fa65ee029dc3c92,-4859019.881715164,-107259.2953700878,-4751760.586345076
php,php-src,b798b366c8debdcdf1071d97a428ac86a7470f18,4b14c11dcd4d27519b9c03d7acf638f9bface169,-3758578.098909116,-97958.09147402491,-3660620.007435091
stevedekorte,io,9f00950fc102ac184c5da51fb8848e5f3414221f,9f4ff16cf02dfe042fee26d7bee44942100a943e,10897.516456971074,7852.09070705847,3045.4257499126043
splitbrain,dokuwiki,8249bc69100c383d6c9413d922c671d6bd1c4c48,41c27d5a7c577979cacd974b3763904192487637,-1783.3979236801124,-14644.663696064545,12861.265772384431
MPOS,php-mpos,7b41a75f921237fa3eb4f5d8413349e4d98b373c,e5c97201741671a45bae2334eec49739c7495f59,-15888.300028852598,-15520.810392202926,-367.4896366496723
php,php-src,c0b49a701a74f9be1f99f79c4334d4aecdf1f1c6,5d07438cb3d72b7d6d3675cdccf5eef361e6e591,-4310336.938356739,-108019.33938656232,-4202317.598970177
nextcloud,server,df0e72d8d9485a08d6d60261538d9d5a63aa266e,e5d78a35231d1412aa7427f061aacdf73d92a796,-456802.7193841792,-56817.30824753382,-399985.4111366454
josh,rails,e3623bd9ed71e289078cefad4204f38d2fdf9188,0ee1cb2cd32bfaf47deaf5440dd5b9cf0915ab6a,6899.3491354741445,7617.3430067340305,-717.993871259886
realm,realm-cocoa,67e396d5511604a8b2793ad9a314db5e1cbd6d73,9a623ef0e43e8f0bcd829393e1737f4b6de82e71,-1334.54785114533,-1046.9401782341688,-287.6076729111612
naver,pinpoint,83f4e1dc9b870635f5286f66223c340ac3028a12,a3911e078b58ed029c7944a5e65e1daa050fa2e0,-2771.000203676249,-23290.660654214058,20519.66045053781
vanilla,vanilla,20d648b1f29358daf2e1211ef85827fdb224060d,0a22506c76ac419d390d5d1bde5ec5f48b195358,error,error,error
curl,curl,07b9826541ec429433495d237301d59a5d8bfd22,a9cd4f4ed49e1a0b79f8fc6a0cb129331fa04f23,-74733.40981761966,-41222.28767828254,-33511.122139337116
curl,curl,7e46061cac2ba460c337d9ec89e06c32a5e97d99,716302c2cd59f96ecd96f949db92576d204cabae,-40802.34433741004,-61026.43979455834,20224.0954571483
josh,rails,817e37013610c8e8866197594d5e408b4d5daec5,d3bbb23b2fdc6f597410e83e604d4919174aaa27,11433.317680186166,14649.557193421953,-3216.239513235787
scalikejdbc,scalikejdbc,ea6ff980300f18f1fefa36307652fecd5b65f2dc,0066d580d8ab21d252310bd0206fa62effa6137b,897.3855142840144,861.2025089004176,36.18300538359688
josh,rails,236f0bb67adecbc1e6dac5258e4a8cb310ffd7a4,05d4653cef1c1d8d77228de26d55cf6d6a0ce20b,6671.7424865033245,13131.359644303098,-6459.617157799774
google,google-authenticator,6638f7623e4802437e32f481a44d8d428399411a,a096a628455a05c5ff3b651e6aeb1dad9a646742,3327.267877769627,3326.569932621911,0.6979451477159273
curl,curl,8274bee963851e4c620e9cba73f8fa6e2069da1d,cea1fd7a9414b628e3b462b08ee3b64f24a689d1,-15832.807253332441,-60492.368017214554,44659.56076388211
mantisbt,mantisbt,400582a6c8c4110a1d28ca82c3d8af9fa82908db,b35d343671688056efcb63c31b7ac7e177eedcdd,-61896.84052754124,-53245.90724551439,-8650.933282026846
moodle,moodle,ba62015b8e88989eafc4d27ce44f85a7d9f88662,d371392a7be7ccb03dc589977e01f3a156661cdf,error,error,error
MISP,MISP,55f19fa2609722dd86c60f30f556d3ed8ad08e0d,71b24464699b093753c3a663f6c19d45de57460e,-18713.62444872254,-10664.72647496148,-8048.897973761061
tornadoweb,tornado,9d1af05323f9a7941e2336ce50972de65e18bcdd,2b0684028a9ca38318ce5038fa611e7274576e22,-1219.8322063672922,-31.161742322427266,-1188.670464044865
curl,curl,b45d50ccc26e172dbad499c258c2bf70777f9026,2497c42172307485fb60100474b68c1620041df5,-19245.70816502427,-63959.656478940225,44713.94831391596
josh,rails,eb9816831367f709e190b385717814b5d985fbc9,3a0b6c8e135e268c1550f93db1b63ba27457dec2,18749.7695149341,17136.368784048165,1613.4007308859364
timburks,nu,7e3a0935e2a47d45fc054c41d587ae2090017286,8186b9cdaf1906f4bfa2a92229e2f95320e5d510,-7859.411969135002,-1644.329581888682,-6215.082387246321
facebook,fresco,ac3267a73009eca3ee2882737ab1665f4c8590f2,6f92497f95bdfaef08ea69ba08453bb3094eb27c,9780.278334755778,10069.194850386019,-288.9165156302406
jspahrsummers,libextobjc,1bc0e23bab2283daf6df78935291b006e7be725a,01a5c0372e4a14885916135997c846bf26b33348,error,error,error
forkcms,forkcms,f170c084e7abd1be65738b0914b617544049f769,814f9bfa70c31421b7b9146bf96ea8e3a6bd3fa2,20567.209981821972,13689.665413863617,6877.544567958355
vanilla,vanilla,97a4e08541bfa991aadf5285a9778cb57344f81b,53c917efc533422be7752b2b5db81193f4401359,error,error,error
realm,realm-cocoa,5fff69825c0d10642a9b7b1f5ba1a122edec505d,946e0a4a2e59a3bdf22c9a9220c1746b6bbdc022,-495.81495794518617,-1046.6868438805166,550.8718859353304
splitbrain,dokuwiki,06c9ee33a6fa99795455452d90a155e58f1297d7,041d1964bde2693df05726690877835ddae4e83e,-11258.935715176991,-4634.232832478369,-6624.702882698622
scala,scala-dist,83897e2bbaac16743904ec7087a34b0fa593dd0b,5379de92c562ff3646e78ecb938d31bebcabce10,733.2070267610289,123.05291425015417,610.1541125108747
cakephp,cakephp,ed4894eef2c68f9fe4444a891570d868d29af51a,c4031bfd0a45420ef17a4a3eec45971c28e8e31f,20300.571091490245,21111.427900925948,-810.8568094357033
mpv-player,mpv,905d5efded7ed1c0cd7d327fc9a734de79407ec8,8e4eee9a9adc0b40b0ad7f182808c77bf24f7c47,1722.91538034813,1548.240230454379,174.67514989375104
cakephp,cakephp,ddcfd3e6281e7bac4f6940f161078690f11063e9,49c11a821945513a5f8e44f52561ace6ba76e3c7,20020.92455313198,-3826.548385428512,23847.47293856049
Codiad,Codiad,99db82889c13420944480b87fd3d6088d04ab831,7b01d10681845cdf36e9b7641f91debe75c44eb2,3088.13651321665,4315.190577347511,-1227.0540641308608
mantisbt,mantisbt,024645e79547766620e05f7cb67ca0fe6f680bb3,e1ac36d37af93685cc8203d4dc930cbed047e744,-7220.316403089435,-56928.85768068485,49708.54127759542
ci-bonfire,Bonfire,b4f6a483c6428fe7b1c6accffd6ee36a897e8ebc,e7800df796da60c2cac7ade0fd3949d6907e3664,-4562.128581687742,-4032.884988925069,-529.2435927626725
josh,rails,5ef8a81b846120b51b35503f5c2079036b321630,c6372d604952a8eef16ce73a06814aa143b94779,7477.70383038628,11864.096836056064,-4386.393005669784
josh,rails,fbed63aef056a2fbf9cf1eb846e7f8948001601c,08d0a11a3f62718d601d39e617c834759cf59bbb,12545.962232439051,17440.37150031374,-4894.409267874689
WordPress,WordPress,1cb39b180f8c1f20447e25c832e2286584e97d9b,60de32b047a658529d049e7e541ba7105cbdbcee,-89750.87558135638,-34402.09593900986,-55348.77964234652
forkcms,forkcms,6ede060b16c8c8a9438f75519dec220b870df4b7,a9d22fb220777aa4890b2901f39e1c56b39b43ec,12158.112702779765,13688.928160245827,-1530.815457466062
mantisbt,mantisbt,12a7f8342b9df21b694a7c0bf23f251230add2ad,8961a6670e5baba75445e8a23331ab82e1d7618c,-53714.93066815847,-53182.08148758297,-532.8491805755039
WordPress,WordPress,f6c86216a633180af7f732e8cff42e6f09b25954,91d7e604f2591371481831434823e6d44d5f830d,-11469.905299673104,-10661.426364001632,-808.4789356714718
curl,curl,075c534270421964e1c4709e4f87a99e31d1f1d1,38ed72cd3733e0d809c4b7023151d3f06e7274ef,-22660.284625490574,-48454.08901461745,25793.804389126875
neo4j,neo4j,Error,a077134d2ee35b5340b5728603135148d6eb901b,error,error,error
moodle,moodle,d74bb0971e4a9b18e53f116f20c5f8fa9446854d,e08de1b4954f984e96961cb5c7ca150079d9d92f,error,error,error
owncloud,core,24b4806af4a9b485b4b9a772809d118e91c6d97f,5e711f37ca3f009317a3c8cd0e47ed4f15922142,6118.919798454727,-11122.79099043884,17241.710788893568
josh,rails,6f429f375e43529f2dd1a2f37cbaabeef40c6ea9,1879c259b870938c42d5d52f63123bfa0b8c81c8,13578.032436773556,17498.070982968027,-3920.0385461944716
cakephp,cakephp,17be6d04725afcc92d56a51e77e170268886fff9,aae0f762dd19c5bc2d171d7c8b06d63bebebe381,-452.01561442460263,297.5978666822222,-749.6134811068248
moodle,moodle,d7d7ca2ea149c76e401011a0d2307cc273c854a2,3f08e9b98a4ef39a5ce4aca110aecaa3bc873b7c,error,error,error
openssl,openssl,d5a25ae0deeabc9baaacef64f4c23fbd0c2d67e9,d3cc5e610d1719a35cda52c9152134b490a8c944,-1808293.4514985858,-1808775.8936119617,482.4421133759897
vanilla,vanilla,e8d7868fe1a5fa96a4a06b6e2295589ebf2c1f95,f3fe692c30a27506efe5c30da94c49345569359c,error,error,error
lxc,lxc,223b1e0c874181883d0f75f9d7e7f80a67f85faf,2802732032aeaabe8c793ae76112d9c8ba13ee23,180.54433636788647,212.37027306108115,-31.825936693194677
openssl,openssl,52c4c51f02c1bec0440f520aa98765072d1f0286,d9f0016bc57ac680d30aa1f32c9aef91acfe5aa4,-118218.16036833172,-58677.04936442585,-59541.11100390587
mattpass,ICEcoder,6aa2d0e533c1d5f23d5089b1ef1997a148a4f600,ec44407e25b15bf70c734cae759092456d0e5c87,37.46643514351023,52.52731103990809,-15.06087589639786
MISP,MISP,6711c7441ff646759fe5a7fef93fcd7789c88bf2,6d1dc6df95c25d256115b852fa68f5d7594b3b7a,-9867.47175027907,-2162652.6044237427,2152785.132673464
zxing,zxing,5edd5dab7795cca962cb01f569482b6324552efd,1f2699c196285fd2a898478413dbde20b63d6d73,7976.236788365556,5933.978449121757,2042.2583392437991
pfsense,pfsense,4c613f84820a88c9b047e554b200accab5201f24,ce0a5816476bd4703b85a30396123f13da5be174,-103152.43001989824,-58505.57091358629,-44646.859106311946
splitbrain,dokuwiki,056cb2ccb4da10b9edc056f5ad283299f4524416,1ee9b48eeac0acdc23d10bc12e2efa22a01f9989,-12648.314413409413,-20910.79133056068,8262.476917151269
vanilla,vanilla,f8dc9e5d35a0ae1b7c55235d71961b9970aef612,c3245a10878c9cb095a79e4581640995f43c3b4c,error,error,error
technoweenie,restful-authentication,68cbb447208e1a9cf6d82e961aad2c129bd0d455,c855a1653ee6fe2b112e041ff92ce1aa507434d6,540.7028936797693,516.4781866418043,24.224707037965004
churchio,onebody,Error,04b1ebb7ee3a0d98705a82e792ab66b6dfbabdc0,error,error,error
edx,edx-platform,dab4728ff38c80d1ba2976f72dd693b5d4f498fe,4d656061becf7b92dd4de3cc9baf7460ac729386,-431817.2954111989,15071.007475954253,-446888.3028871532
mozilla,kuma,be2bad79e9eafd76b214a3a259c9ca0d538748bf,e43ed532e9623eeea4a492c7477c76acf8a2f995,356.98410951783916,-582.9837892266627,939.9678987445018
churchio,onebody,Error,c603d8898d1ea01315178914f4e7d63a6f9e0b26,error,error,error
mojombo,god,02f914446716f7661abb43255539ae89e9d7c615,c173cedd248239b82f5e432b355a58e859d04b21,579.8139897411666,1594.9682061151204,-1015.1542163739539
josh,rails,2409c61661f0b1c4f946a99c215cc4b4635c0cd6,6ea48ebfa68947ad66a516bdb7452e0faf3f70a7,17355.45453595891,16827.126065981316,528.3284699775941
rubinius,rubinius,9d4a864d2976e679259ede9da9bdc2e57331b91d,75842e976ec1db29b3719101c7fd3cca4df1a00c,-84739.65198778357,-1159162.060207389,1074422.4082196055
php,php-src,85b00d1dd4309b48bec3011f96609f9598c02ec7,d82d68742c69fc20a5180a2dbcca4cac52435931,-3725362.3561398247,-13293.270271765647,-3712069.085868059
fruux,Baikal,7fbda2291a2b53235130a24e3b29015b101e1023,95b18da309438712ffec7e8c1f20984b9ec1e232,8120.750193545639,5393.916486747821,2726.833706797818
laravel,framework,cbcdcf30e1e328ee7136490798da0baf1cdb089f,0964852338dbd918025838f7afa0591eff615331,17429.31118551586,15110.993582345684,2318.317603170177
rubinius,rubinius,965b5abeb05d539a65244bdd8e5cc8b7c156174a,1262f24460463628c7cc4e275b7c814048937b57,-1159162.060207389,-1296631.5196746134,137469.4594672243
Codiad,Codiad,5ce3f00a1104690feb5b495ec349db6b1d4b241d,601e89d77bcef6796301c1b7a6b75a30e7c393e5,-31436.150959120416,-31498.798878493162,62.6479193727464
tornadoweb,tornado,901fc49120d99e3166c30c1b871b8b48654e4401,2338348edda61c663fff8a7f6f77cf489bf63de6,473.7303481271221,252.72624146184853,221.00410666527358
php,php-src,0499f9094f133258fee5b3e0d37c97fb45ef1432,79e7432c971e904c84b7774674fc71f805091fd4,-5005136.448113928,-82852.49833685497,-4922283.949777072
WordPress,WordPress,a43c737a0d9c80984e03372c1e2f7b181c0d2087,c72cecbc5db600d3d659411dd649bbb1cfc66207,-54394.12586444531,-64019.60776121894,9625.481896773628
micahflee,onionshare,ef7fa690f548926146562e3ec64d4eac02735a7e,9bfde7dfcc317e516dc6f03724c40d35baa45970,741.705421480318,741.705421480318,0.0
ci-bonfire,Bonfire,5736c986f9e612c0cc2de93c3a2f8edd9c19e378,cbbbedc362a4bdf3887ae26dedb569bf123c9a62,-3564.2913044747215,-7470.808615147778,3906.5173106730567
rubinius,rubinius,3526d37b4deaa5efdbe8a4036b67fa911925f6fd,573964b7e98d44b7d87bd8ecd1e2ec0321ca2947,error,error,error
josh,rails,a3dc8ba16f7c453ab3b12c2bf476bdf26a9e2a5b,344ea048659f2ba47012f0330183ea4a96752732,14821.38115023216,15794.47963719165,-973.0984869594904
owncloud,core,1a5b4e1f0d84504a07231e13efde87a79b53adb7,dc41cf081cac227f0d73b56542fa6295285e170c,47935.36446397733,3948.0300267457296,43987.3344372316
mattpass,ICEcoder,9712c369c1f287f27e2048922675dd40caf98009,69d8ddce7756802525bc07ac028b939e554a81ca,-169.4313847540215,59.65164108795038,-229.0830258419719
cakephp,cakephp,49b316d6fd7af4ab24a299b163688b3d699fa8ad,aad72871a09b8b1bf750cde84d42e6a4f4fd7d2e,21128.535656258635,-4227.6272569651865,25356.162913223823
josh,rails,5f44411d948f0cefb6a968a357d305c4c97c2174,69fc0e1b5e6a3227576d67587c386142ef65854e,5587.493278119051,18792.203782021617,-13204.710503902566
splitbrain,dokuwiki,6b3830a370961065afb15ae996fc4b038e749b68,0d5f4833689967dde7f9fc2cbd1b6ada533bbb73,-11149.053250293045,-14378.155306457078,3229.1020561640325
FFmpeg,FFmpeg,fce88d52ca0b694a614e2cf030c3f622db65b164,754ebe3465e72894a5fef7407d6e1468fd40054e,2710.301850805645,241.68577331307117,2468.616077492574
FFmpeg,FFmpeg,66328da700c73246e2d4c5254905f9e5b4e0fa31,7f2228dbfec0268b8b486573041043c0de1aa381,15659.548762857687,12058.415507284051,3601.1332555736353
php,php-src,cf582a32ef961cde0cfc51a0ffafa352d52edde5,272cccd1759a358eb9a66e3fb10bcad373acb06e,-5457492.827818088,-13168.142701022454,-5444324.685117066
josh,rails,fc6b5337491fb37f7ec8bdee89ca199734f6fc62,d45e2c733d471b0c87f7cf721376ca4802450121,18666.710600653987,8150.204896787559,10516.505703866427
phpmyadmin,phpmyadmin,71cf1ec80bccc588efe4d40394a26750d231031e,2ff7b4cc93eb88325b2ac2930b966208642c1111,-59334.15234937114,-103391.85436152342,44057.70201215228
nextcloud,server,c42ce20054579a61fd810c29652355e15505a10f,d5566d026745da8fbfc6648184b5b7890956faf9,16499.401524259647,-12713.243301067432,29212.64482532708
moodle,moodle,50e082b7ba36ed1a978d8bd7c2a94889e54cf56f,36ea9a6c98505cbe34c2af0be6c984be97cb0656,error,error,error
vanilla,vanilla,e84cdc7ca881e638d96fad6f6d09eaa0e11cd86f,2c56bd34645e12cfb9b3b86dc2c6038ba7bddb47,error,error,error
edx,edx-platform,322db6de7aea140f06b4b118d3094381a1d21d55,a8284058e602eefcea76b6bccfbac6b3f75000d2,34811.184339695705,34669.50876372938,141.67557596632832
