,owner_sec,project_sec,sha_sec,sha-p_sec,main(sha)_sec,main(sha-p)_sec,main(diff)_sec,owner_reg,project_reg,sha_reg,sha-p_reg,main(sha)_reg,main(sha-p)_reg,main(diff)_reg,pattern,language
15,owncloud,core,211a546600de0d108d3c1b66602dec681ff18837,b0ecef02e905972bdd963ba03610e5c025a36e1b,-10759.841468457029,-10968.985596256425,209.1441277993963,owncloud,core,d9e8ebabdcd99bade4201d6be82e1841d30c5d65,b0ecef02e905972bdd963ba03610e5c025a36e1b,7981.882071943514,-10968.985596256425,18950.86766819994,xss,javascript
17,edx,edx-platform,09e1f9ed71910341b1e806466d70308162dbb832,2ba5d483fc46cf60dba99fb1122d36268cac8ee5,31224.403612393926,31218.430175118574,5.973437275351898,edx,edx-platform,a06cc229a012fa7d6b93027233e1628d565edb95,2ba5d483fc46cf60dba99fb1122d36268cac8ee5,6243.595933260847,31218.430175118574,-24974.834241857727,xss,python
19,Graylog2,graylog2-server,55c17eae2e7f7ea12602c6019e18dd528b248646,1e4ae741ef0a160630628cc9e1d31bfdbb581998,3619.6817791138587,3618.2975039188996,1.384275194959173,Graylog2,graylog2-server,59c3aaa285a524faba28adcf8f2381cc118fc05c,1e4ae741ef0a160630628cc9e1d31bfdbb581998,101.61478656141601,3618.2975039188996,-3516.6827173574834,pathtrav,java
20,postgres,postgres,0a73f69cb4842f46c1a080b3375b0f268ba1e5de,11cb598c397eaa18916c1a0f944f3ead05dab971,-1009912.2238741046,-1009912.2238741046,0.0,postgres,postgres,9c4eceb4e35e793b0ff882907755618371aecc8b,11cb598c397eaa18916c1a0f944f3ead05dab971,-52097.14627402506,-1009912.2238741046,957815.0776000795,injec,java
21,frappe,erpnext,62c7deee00a8a61942c1434164a4597ce52e7594,fcefc601e09507facd430594307979db65f42650,34889.61119895476,34889.61119895476,0.0,frappe,erpnext,d65a03d437f2eafecce61eaa833bcfe15de7cd6d,fcefc601e09507facd430594307979db65f42650,22956.923230895416,34889.61119895476,-11932.687968059341,injec,python
22,nextcloud,server,0074062b5329c3d43679909fddce2d70608a4475,5c6a7172cafc395d38c58d1b5afd6b36efb33ad5,-11386.98012091123,-11386.98012091123,0.0,nextcloud,server,52669d0ea3d687b79a9ee04c6351e6793803ecb4,5c6a7172cafc395d38c58d1b5afd6b36efb33ad5,49939.36467158072,-11386.98012091123,61326.344792491946,xss,php
23,josh,rails,b93c590297ba65a6c5b18655a7790163abcb06f1,3ddd7f7ec9b156e4b7de4c23d448c2db98f30504,12027.815292823174,12025.101902611925,2.713390211249134,josh,rails,8758c6c6e31162b87ca6b9a43e7f2a91cc3ad2d3,3ddd7f7ec9b156e4b7de4c23d448c2db98f30504,17286.887362593963,12025.101902611925,5261.785459982038,misc,ruby
24,FFmpeg,FFmpeg,0eaec10550bd9a0682db9f7920ed0d86f1450f4b,b2a0a7fb8a3580897f2c9d8f2d160a5acab433e4,781.9787637534827,781.9787637534827,0.0,FFmpeg,FFmpeg,cb14d30240b083939639c4be27f15877bf2876c8,b2a0a7fb8a3580897f2c9d8f2d160a5acab433e4,14365.995572347494,781.9787637534827,13584.016808594011,over,c
25,grails,grails-core,08d543b74810debda7a8adb5efed41057597ad5e,ba77c1be24538d86dc21aedd4d9e19373ed13ffc,18428.21617538982,18415.019550397796,13.196624992026045,grails,grails-core,c2c5ef3b761fcfa59f1f8ee797ae5ad6f6902f75,ba77c1be24538d86dc21aedd4d9e19373ed13ffc,16063.31649127706,18415.019550397796,-2351.703059120735,dos,java
26,php,php-src,03964892c054d0c736414c10b3edc7a40318b975,64043cb9e5d8bc5af719678893e38ee0290e0c0a,-7470215.220656286,-7470215.220656286,0.0,php,php-src,ecb9a94472ce658ab64cd9b818a8de6051d53c83,64043cb9e5d8bc5af719678893e38ee0290e0c0a,-3538829.1498392895,-7470215.220656286,3931386.0708169965,misc,c
27,osTicket,osTicket,70aca8937767bd2c0e99f76f8ec94910c7d38df8,03a84301e2e0e6875058814e877b7f7cffa33a98,-12511.54027591924,-12466.296868815165,-45.24340710407523,osTicket,osTicket,0ae7435fcbd356b437a0302da1a31a500fe7047d,03a84301e2e0e6875058814e877b7f7cffa33a98,-12303.372343302362,-12466.296868815165,162.92452551280257,injec,php
28,naver,pinpoint,75232af9b4dd32caf24b126f5152fd5f11675ea6,b152cab0e88e736782435a41991ae305f2a39177,4498.117819704598,4489.597833136396,8.519986568202512,naver,pinpoint,f6ec0eef10e2bd3d2dc4a49479b437d05d315699,b152cab0e88e736782435a41991ae305f2a39177,-843227.995504604,4489.597833136396,-847717.5933377404,xss,java
29,slimphp,Slim,1ee41b74963b5ce23caae67582aceddb982b43db,20b09ca587b6f1215bb10ad39b92c2c540b2cd35,1663.7618021599942,1662.6250036745462,1.1367984854480255,slimphp,Slim,36cdaa2f4ec4495cfa3a8cb2b354bc2b862903d3,20b09ca587b6f1215bb10ad39b92c2c540b2cd35,1851.0069145659731,1662.6250036745462,188.38191089142697,misc,php
30,pfsense,pfsense,bef1056048aa2e0839fd5839e83da154f06c8c2c,daeab6c45370e05491ae60f854fb3b9967c6f94d,-143914.86986975564,-143914.86986975564,0.0,pfsense,pfsense,d04d8d428065d52506faa1c3f449ef951b0a0bde,daeab6c45370e05491ae60f854fb3b9967c6f94d,-72406.02658610384,-143914.86986975564,71508.8432836518,injec,php
31,jspahrsummers,libextobjc,357e57fd89e727881befe718728de8962128cb6c,821599787089f794228cc8bfac6a1b97c3e6227d,39.633606117354816,36.44378099907413,3.1898251182806874,jspahrsummers,libextobjc,01a5c0372e4a14885916135997c846bf26b33348,821599787089f794228cc8bfac6a1b97c3e6227d,88.87631016441523,36.44378099907413,52.4325291653411,ml,c
33,owncloud,core,211a546600de0d108d3c1b66602dec681ff18837,b0ecef02e905972bdd963ba03610e5c025a36e1b,-10759.841468457029,-10968.985596256425,209.1441277993963,owncloud,core,40188c87a189a45a50e1d96acb222be0a67ab853,b0ecef02e905972bdd963ba03610e5c025a36e1b,45785.21019190399,-10968.985596256425,56754.19578816042,xss,javascript
34,openssl,openssl,f9b6c0ba4c02497782f801e3c45688f3efaac55c,a029788b0e0c19cee4007cc1f73201cf2c13addf,-1794932.343046066,-1794693.0585418993,-239.28450416657142,openssl,openssl,55ac522068e616d8a4d1bd5590f3b2d08d4ba25c,a029788b0e0c19cee4007cc1f73201cf2c13addf,-72445.99289892339,-1794693.0585418993,1722247.065642976,misc,c
35,google,google-authenticator,b9ce63a46a34391cdef2ffdb24e52c35b397126e,beb43d7baf22c0f9c0d0f87c1ce5473c41943d06,3327.267877769627,3327.267877769627,0.0,google,google-authenticator,815ec5a873228418948cda399fb44a61bb540e60,beb43d7baf22c0f9c0d0f87c1ce5473c41943d06,3327.267877769627,3327.267877769627,0.0,over,c
36,WordPress,WordPress,95df22248db483fbf80acbb9333a2c2dd4658fbb,8772cbfa138d9e46d0fcb97aa0a2a0b15e8eb6d1,-19809.580474111663,-19805.403545429654,-4.17692868200902,WordPress,WordPress,24b5a980c51bf33b659958f6859e01cb68e0df26,8772cbfa138d9e46d0fcb97aa0a2a0b15e8eb6d1,-32939.47716182366,-19805.403545429654,-13134.07361639401,csrf,php
37,MPOS,php-mpos,63c3b96a2940a350abd58491a72629b37059479f,795e019d0de3731fab71c98ab0487e84d6f7e952,-15852.434189500096,-15785.181412787566,-67.25277671253025,MPOS,php-mpos,c8f7163fa8c3d71f0c8dca6092f2c29333d610ee,795e019d0de3731fab71c98ab0487e84d6f7e952,-6382.533683165215,-15785.181412787566,9402.647729622351,auth,php
