owner,project,link,watchers,stars,forks,contributors,commits,branches,releases,language,size,o_issues,c_issues,t_issues,o_prs,c_prs,t_prs,license,target,domain,app,type,tags,g_tags
FreeRDP,FreeRDP,https://github.com/FreeRDP/FreeRDP,306,2834,1218,224,12818,5,29,C,36655,310,4859,5169,30,2661,2691,Apache-2.0,,Non-web libraries and frameworks,,Library,protocol,c;rdp;remote-desktop
gitbucket,gitbucket,https://github.com/gitbucket/gitbucket,573,7513,1052,139,4826,12,88,Scala,38573,281,1955,2236,28,772,800,Apache-2.0,,Application software,Web,Platform,web-platform;easy-installation;high-extensibility;github-api;extensibility,scala;gitbucket;git;scalatra
google,google-authenticator,https://github.com/google/google-authenticator,321,3389,679,26,215,1,1,Java,2423,146,515,661,1,41,42,Apache-2.0,,Application software,,Mobile,android;blackberry;iOS;authenticator;google;passcode;generator;mobile-platforms,
grails,grails-core,https://github.com/grails/grails-core,244,2405,934,217,18697,156,183,HTML,351807,154,11016,11170,18,972,990,Apache-2.0,Groovy,Web libraries and frameworks,Web,Framework,web-applications;extensible;easy-integration,grails;groovy
graphframes,graphframes,https://github.com/graphframes/graphframes,51,448,142,22,406,2,6,Scala,867,98,212,310,9,147,156,Apache-2.0,Scala;Java;Python,Non-web libraries and frameworks,Web,API,package;dataframe-based-graphs;apache-spark;dataframe-api;highly-expressive-queries;performance-optimization;spark-sql-engine,
Graylog2,graylog2-server,https://github.com/Graylog2/graylog2-server,279,4626,707,81,14369,69,182,Java,84964,690,4745,5435,34,1875,1909,GPL-3.0,Java;.Net,Application software,Web,Logs Manager,,log-analysis;log-collector;log-viewer;logging;logging-server;siem;secure-logging;security;gelf;syslog;graylog;kafka;amqp;log-management
h2o,h2o,https://github.com/h2o/h2o,441,8088,614,92,5960,708,71,C,95061,442,1487,1929,40,929,969,MIT,HTTP,System software,Web,Server,http;http-new-generation;server;very-fast;quicker-response;less-CPU-utilization,
HandBrake,HandBrake,https://github.com/HandBrake/HandBrake,215,3914,473,57,9130,28,36,C,78515,185,1570,1755,3,322,325,GPL-2.0,Windows;Mac;Linux,Application software,Desktop,Multimedia,multi-platform,video-transcoding;multi-platform;gplv2
jersey,jersey,https://github.com/jersey/jersey,372,2839,2525,61,3167,14,98,Java,38964,552,3255,3807,93,245,338,CDDL-1.0,Java,Web libraries and frameworks,Web,Framework,rest;jax-rs;jrs-370;apis;jax-rs-toolkit-extension;restful-service;web-services,
jnicklas,merb-core,https://github.com/jnicklas/merb-core,2,3,1,56,1159,4,1,Ruby,2328,0,0,0,0,0,0,MIT,Ruby,Web libraries and frameworks,Web,Framework,merb;web-framework;core-functionality;fast-application-development;simple-application-development;powerful-application-development;,
